|                            Parameters | 4FGL J0534.5+2200.spectral.index | 4FGL J0534.5+2200.spectral.amplitude | 4FGL J0534.5+2200.spectral.reference | 4FGL J0534.5+2200.spectral.lambda_ | 4FGL J0534.5+2200.spectral.alpha | 4FGL J0534.5+2200.spatial.lon_0 | 4FGL J0534.5+2200.spatial.lat_0 | 4FGL J0534.5+2201s.spectral.index | 4FGL J0534.5+2201s.spectral.amplitude | 4FGL J0534.5+2201s.spectral.reference | 4FGL J0534.5+2201s.spatial.lon_0 | 4FGL J0534.5+2201s.spatial.lat_0 | 4FGL J0534.5+2201i.spectral.amplitude | 4FGL J0534.5+2201i.spectral.reference | 4FGL J0534.5+2201i.spectral.alpha | 4FGL J0534.5+2201i.spectral.beta | 4FGL J0534.5+2201i.spatial.lon_0 | 4FGL J0534.5+2201i.spatial.lat_0 | 4FGL J0534.5+2201i.spatial.sigma | 4FGL J0534.5+2201i.spatial.e | 4FGL J0534.5+2201i.spatial.phi | 4FGL J0521.7+2112.spectral.amplitude | 4FGL J0521.7+2112.spectral.reference | 4FGL J0521.7+2112.spectral.alpha | 4FGL J0521.7+2112.spectral.beta | 4FGL J0521.7+2112.spatial.lon_0 | 4FGL J0521.7+2112.spatial.lat_0 | galdiff.spectral.index | galdiff.spectral.amplitude | galdiff.spectral.reference | isodiff.spectral.norm | isodiff.spectral.tilt | isodiff.spectral.reference | isodiff.spatial.value |
|        4FGL J0534.5+2201i.spatial.phi |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|  4FGL J0521.7+2112.spectral.amplitude |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |               1.6314575448061085e-11 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|  4FGL J0521.7+2112.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0521.7+2112.spectral.alpha |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|       4FGL J0521.7+2112.spectral.beta |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|       4FGL J0521.7+2112.spatial.lon_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|       4FGL J0521.7+2112.spatial.lat_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|                galdiff.spectral.index |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |   0.004993499491761634 |          854.0914790514068 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|            galdiff.spectral.amplitude |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |      854.0914790514068 |         40799503160.581345 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|            galdiff.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|                 isodiff.spectral.norm |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |     4.501917702498898 |                   0.0 |                        0.0 |                   0.0 |
|                 isodiff.spectral.tilt |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|            isodiff.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|                 isodiff.spatial.value |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
